ACCESSION_NUMBER	OTHERMANAGER_SK	CIK	FORM13FFILENUMBER	CRDNUMBER	SECFILENUMBER	NAME
0002010029-25-000002	203462		028-17779	000282580	801-107319	AE Wealth Management, LLC
0000045403-25-000008	203463	0001097833	028-05067	000107569	801-44189	OPUS INVESTMENT MANAGEMENT INC
0000950123-25-008608	203221		028-12863			Spinnaker Capital Limited
0002083151-25-000002	203322	0001997464	028-25755		001-42020	Marex Group plc
0001580642-25-005505	203286			000324624	801-127231	Modern Wealth Management, LLC
0001580642-25-005505	203287			000288429	801-110752	Momentus Wealth Management, Inc.
0001580642-25-005505	203288			000113348	801-63874	Natural Investments PBLLC
0001580642-25-005505	203289			000296798	801-113314	New World Advisors, LLC
0001580642-25-005505	203290			000171351	801-79876	NewEdge Advisors, LLC
0001580642-25-005505	203291			000325403		Noorvest
0001580642-25-005505	203292			000169574	801-78933	Nova R Wealth, Inc
0001580642-25-005505	203293			000112505	801-79439	Oldfather Financial Services
0001580642-25-005505	203294			000310906	801-119677	One + One Wealth Management, LLC
0001580642-25-005505	203295			000301764	801-115232	Optivise Advisory Services LLC
0001580642-25-005505	203296			000310327	801-119646	Pallas Capital Advisors, LLC
0001580642-25-005505	203297			000324199	801-127465	Panorama Wealth Advisors
0001580642-25-005505	203298			000151671	801-70707	Per Stirling Capital Management, LLC
0001580642-25-005505	203299			000325119	801-127980	PFW Advisors LLC
0001580642-25-005505	203300			000331675	801-130873	PlanWiser Financial
0001580642-25-005505	203301			000330058	801-132915	Ponta Wealth Partners
0001580642-25-005505	203302			000160052	801-76490	Prentice Wealth Management
0001580642-25-005505	203303			000155216	801-72060	Private Advisor Group, LLC
0001580642-25-005505	203304			000156480	801-72187	Prosperity Capital Advisors
0001580642-25-005505	203305			000158401	801-79153	RFG Advisory, LLC
0001580642-25-005505	203306			000107271	801-43144	Savant Wealth Management
0001580642-25-005505	203307			000318493	801-123656	Savvy Wealth, Inc
0001580642-25-005505	203308			000308909	801-124693	Seeds Investor LLC
0001580642-25-005505	203309			000109901	801-55783	Sentinal Pension Advisors, Inc.
0001580642-25-005505	203310			000301086	801-127017	SIGNAL ADVISORS WEALTH, LLC
0001580642-25-005505	203311			000046947	801-71178	Silver Oak Securities Incorporated
0001580642-25-005505	203312			000319437	801-13165	Split Creek Capital, LLC
0001580642-25-005505	203313			000139410	801-106971	STONE HOUSE INVESTMENT MANAGEMENT, LLC
0001580642-25-005505	203314			000109677	801-33774	Strategic Financial Services, Inc.
0001580642-25-005505	203315			000165839	801-108752	Strategic Income Group LLC
0001580642-25-005505	203316			000314424	801-121182	The Ascent Group, LLC
0001580642-25-005505	203317			000123255	801-77097	The Fragasso Group Inc
0001580642-25-005505	203318			000169006	801-79164	The Martin Worley Group
0001580642-25-005505	203319			000105902	801-40745	THOR Investment Management, Inc
0001580642-25-005505	203320			000168777	801-108388	Thrive Wealth Management, LLC
0001580642-25-005505	203321			000304569	801-117013	Thrivent Advisor Network, LLC
0001580642-25-005505	203222			000222515	801-116983	Aegis Wealth Group, LLC
0001580642-25-005505	203223			000135879	801-64514	Allen Capital Group, LLC
0001580642-25-005505	203224			000157423	801-72361	Alphastar Capital Management, LLC
0001580642-25-005505	203225			000145488	801-69827	Arete Wealth Advisors, LLC
0001580642-25-005505	203226			000140643	801-112759	Artifex Financial Group, LLC
0001580642-25-005505	203227			000172793	801-117954	Austin Wealth Management, LLC
0001580642-25-005505	203228			000164081	801-76763	Axxcess Wealth Management, LLC
0001580642-25-005505	203229			000152977	801-122717	Bauer Wealth Management, LLC
0001580642-25-005505	203230			000299805	801-114547	Bison Wealth, LLC
0001580642-25-005505	203231			000291459	801-112524	BlackDiamond Wealth Management, LLC
0001580642-25-005505	203232			000318366	801-123232	Bleakley Financial Group, LLC
0001580642-25-005505	203233			000107202	801-118602	Blue Barn Wealth, LLC
0001580642-25-005505	203234			000316544	801-122508	Brookwood Investment Group
0001580642-25-005505	203235			000285359	801-108434	Bryn Mawr Capital Management, LLC
0001580642-25-005505	203236			000106577	801-45064	CFS Investment Advisory Services LLC
0001580642-25-005505	203237			000284839	801-113243	Colonial River Investments, LLC
0001580642-25-005505	203238			000008032	801-41541	Commonwealth Financial Network
0001580642-25-005505	203239			000305013	801-117202	Connecticut Capital Management Group, LLC
0001580642-25-005505	203240			000111010	801-60130	CONTINUITY WEALTH MANAGEMENT, CORP.
0001580642-25-005505	203241			000283318		Crafted Finance, LLC
0001580642-25-005505	203242			000151156		Crescent Wealth Advisory, LLC
0001580642-25-005505	203243			000155576	801-107896	DFPG Investments, LLC
0001580642-25-005505	203244			000329878	801-129521	Diversify Wealth Management, LLC
0001580642-25-005505	203245			000318241		Divvi Wealth Management LLC
0001580642-25-005505	203246			000311298	801-119910	Dovetail Financial Group LLC
0001580642-25-005505	203247			000108052	801-57727	Earned Wealth
0001580642-25-005505	203248			000307265	801-118109	Echo45 Advisors LLC
0001580642-25-005505	203249			000137068	801-65068	Elevation Point Wealth Partners - Institutional
0001580642-25-005505	203250			000285961	801-108767	Facet Wealth, Inc.
0001580642-25-005505	203251			000330890		Ferris Financial Services, L.L.C.
0001580642-25-005505	203252			000111822	801-77600	FLC Capital Advisors
0001580642-25-005505	203253			000307618	801-120349	Fortress Wealth Planning, LLC
0001580642-25-005505	203254			000137945	801-66892	Founders Financial Securities, LLC
0001580642-25-005505	203255			000306703	801-127881	Fourth Dimension Wealth, LLC
0001580642-25-005505	203256			000159099	801-79524	Fulcrum Equity Management, LLC
0001580642-25-005505	203257			000283850	801-107873	Fundamentum, LLC (Stratos)
0001580642-25-005505	203258			000155344	801-72037	CWM, LLC
0001580642-25-005505	203259			000329404	801-129402	Gatepass Capital, LLC
0001580642-25-005505	203260			000324954	801-132141	Generational Private Wealth
0001580642-25-005505	203261			000175300	801-114835	Global Strategic Investment Solutions, LLC
0001580642-25-005505	203262			000321145		Green Ocean Global Advisors LLC
0001580642-25-005505	203263			000143665	801-77333	HBW Advisory Services, LLC
0001580642-25-005505	203264			000168494	801-107338	Hobart Private Capital, LLC
0001580642-25-005505	203265			000319087	801-123434	Hoxton Planning & Management, LLC
0001580642-25-005505	203266			000172011	801-80074	HUB International Limited
0001580642-25-005505	203267			000171481	801-79769	IHT Wealth Management LLC
0001580642-25-005505	203268			000300279	801-114673	Inspire Advisors, LLC
0001580642-25-005505	203269			000284656	801-108179	INTEGRATED WEALTH CONCEPTS LLC
0001580642-25-005505	203270			000299589	801-114418	Intelligence Driven Advisers, LLC
0001580642-25-005505	203271			000110433	801-12359	James Investment Research Inc
0001580642-25-005505	203272			000127902	801-62249	Keel Point, LLC
0001580642-25-005505	203273			000128606	801-78914	Korhorn Financial Group
0001580642-25-005505	203274			000140599	801-71543	Larson Financial Group, LLC
0001580642-25-005505	203275			000168539	801-78438	LeConte Wealth Management, LLC
0001580642-25-005505	203276			000283553	801-107930	Legacy Financial Strategies, LLC
0001580642-25-005505	203277			000157450	801-116746	Lifestyle Asset Management, Inc.
0001580642-25-005505	203278			000319171	801-123638	Lumiere Financial Group LLC
0001580642-25-005505	203279			000115753	801-63693	Madrona Financial Services, LLC
0001580642-25-005505	203280			000292817	801-120452	Maia Wealth, LLC
0001580642-25-005505	203281			000118544	801-60820	Main Street Financial Life Advisors, LLC
0001580642-25-005505	203282			000002903	801-123009	Martin Nelson & Co., Inc.
0001580642-25-005505	203283			000147363	801-69271	Mercer Global Advisors, Inc.
0001580642-25-005505	203284			000110216	801-13452	Meridian Investment Advisors
0001580642-25-005505	203285			000147070		Merit Financial Group, LLC
0000950123-25-008588	203214		28-00545	000115785	801-60701	Thrivent Financial for Lutherans
0000950123-25-008587	203215		28-00545	000115785	801-60701	Thrivent Financial for Lutherans
0000950123-25-008585	203220		28-00545	000115785	801-60701	Thrivent Financial for Lutherans
0000950123-25-008583	203216		28-00545	000115785	801-60701	Thrivent Financial for Lutherans
0000950123-25-008578	203219		28-00545	000115785	801-60701	Thrivent Financial for Lutherans
0000950123-25-008577	203213		28-00545	000115785	801-60701	Thrivent Financial for Lutherans
0000950123-25-008574	203218		28-00545	000115785	801-60701	Thrivent Financial for Lutherans
0000950123-25-008572	203217		28-00545	000115785	801-60701	Thrivent Financial for Lutherans
0001398344-25-016593	203211	0001695078	028-19635	000116978	801-61471	Faithward Advisors, LLC
0000950123-25-008566	203212		28-4545			Berkshire Hathaway Inc
0000945621-25-000795	203210	0002056095	028-25250			Banque Transatlantique SA
0002056334-25-000003	203205	0001800245	028-20215	000113348	801-63874	NATURAL INVESTMENTS, LLC
0002056334-25-000003	203206	0001731444	028-18648	000283087	801-107829	MGO ONE SEVEN LLC
0002056334-25-000003	203208	0001744347	028-19675	000286622	801-114538	Vident Advisory, LLC
0002056334-25-000003	203209	0001592828	028-17729	000171412	801-79835	Empowered Funds, LLC
0002056334-25-000003	203204	0001767307	028-19136	000289977	801-111814	Robertson Stephens Wealth Management, LLC
0002056334-25-000003	203207	0001724269	028-18626	000288300	801-110455	LAKE STREET ADVISORS GROUP, LLC
0001785149-25-000004	203200	0000812291				MIZUHO SECURITIES USA LLC
0001785149-25-000004	203202	0001803149				Mizuho Markets Cayman LP
0001785149-25-000004	203201	0001825516				MIZUHO MARKETS AMERICAS LLC
0000905148-25-003074	203203	0001163653	028-10594			NOMURA HOLDINGS INC
0001085146-25-005398	203199	0002077903	028-25694			Cherokee Insurance Co
0001085146-25-005397	203198	0002077903	028-25694			Cherokee Insurance Co
0001172661-25-003670	203186	0001730242				55I, LLC
0001172661-25-003670	203187	0001173475				JP MORGAN INVESTMENT MANAGEMENT INC
0001172661-25-003670	203188					FRANKLIN TEMPLETON PRIVATE PORTFOLIO GROUP
0001172661-25-003670	203189	0001364615	028-11964			Aperio Group, LLC
0001172661-25-003670	203190	0001229262				GOLDMAN SACHS ASSET MANAGEMENT, L.P.
0001172661-25-003670	203196	0001163368				PACIFIC INVESTMENT MANAGEMENT CO LLC
0001172661-25-003670	203192	0001230440				Neuberger Berman Investment Advisers LLC
0001172661-25-003670	203193	0001305227	028-12016			BlackRock Investment Management, LLC
