ACCESSION_NUMBER	OTHERINCLUDEDMANAGERSCOUNT	TABLEENTRYTOTAL	TABLEVALUETOTAL	ISCONFIDENTIALOMITTED
0002010029-25-000002	0	579	81166387	N
0001068804-25-000006	0	903	692057980	N
0000891943-25-000009	0	963	1712762000	N
0002079571-25-000006	0	169	253729397	N
0002079571-25-000005	0	162	262955883	N
0002079571-25-000004	0	177	259197671	N
0001936249-25-000009	0	20	151603339	N
0002082673-25-000003	0	71	213926695	N
0002082673-25-000002	0	65	177336685	N
0002082673-25-000001	0	15	138034569	N
0001772937-25-000014	3	84	585115948	N
0001420506-25-002565	0	269	268806843	N
0001628280-25-041269	1	62	4960559297	N
0001667731-25-001240	0	51	69926177	
0002063364-25-000216	0	54	106653988	N
0001906594-25-000003	0	477	1062737360	N
0001561082-25-000018	0	158	7234594055	N
0001561082-25-000017	0	158	7404915406	N
0001561082-25-000016	0	156	7296171500	N
0001561082-25-000015	0	153	6606042775	N
0001561082-25-000014	0	152	6690008324	N
0001561082-25-000013	0	155	6085103584	N
0001561082-25-000012	0	152	5560665957	N
0001561082-25-000011	0	152	4920116677	N
0002079571-25-000003	0	180	251764344	N
0001561082-25-000010	0	143	4481370965	N
0001772937-25-000013	3	86	518617302	N
0002056907-25-000004	0	293	99047493	N
0001172661-25-003849	0	167	169327087	
0001104659-25-083914	0	24	146381263	
0001754960-25-000623	0	33	106017095	N
0001754960-25-000622	0	61	127754127	N
0001754960-25-000621	0	74	143878165	N
0001754960-25-000620	0	72	159839143	N
0002083677-25-000001	0	60	170382	N
0002080520-25-000010	1	433	4784720433	N
0001580642-25-005505	0	1967	11714477973	
0001214659-25-012850	0	55	201378745	
0001214659-25-012852	0	61	259475111	
0001214659-25-012848	0	59	193062583	
0001214659-25-012847	0	57	187554754	
0001214659-25-012849	0	54	205572827	
0001214659-25-012851	0	55	206308904	
0001214659-25-012845	0	50	146085216	
0001214659-25-012846	0	57	172375948	
0001214659-25-012843	0	54	155627478	
0001214659-25-012844	0	53	150669844	
0001214659-25-012841	0	44	139763172	
0001214659-25-012840	0	43	148657482	
0001214659-25-012842	0	49	158063925	
0001214659-25-012839	0	45	164652252	
0001214659-25-012838	0	47	168997274	
0001214659-25-012837	0	40	151014568	
0001214659-25-012836	0	41	152862307	
0001214659-25-012834	0	40	142104170	
0001214659-25-012832	0	37	131632576	
0001642575-25-000008	2	4418	96176128569	N
0001642575-25-000007	2	4472	82392416471	N
0001768744-25-000005	0	67	3196565579	N
0002079687-25-000004	0	631	108379667	N
0001420506-25-002458	0	75	1168884219	N
0001808163-25-000009	0	28	139905153	N
0000950123-25-008580	4	4212	45716034	N
0000950123-25-008570	4	3973	45490907	N
0001213900-25-080559	0	135	132710749	
0002075029-25-000005	0	265	951472603	N
0002075029-25-000002	0	265	951472603	N
0001214659-25-012724	0	149	125618711	
0001214659-25-012726	0	164	136356653	
0001214659-25-012725	0	154	121057341	
0001845012-25-000005	0	25	178475871	
0001415889-25-022914	7	3455	129953913362	N
0002054921-25-000012	0	57	8544234	
0002054921-25-000011	0	304	153998406	N
0002054921-25-000010	0	44	2998798	
0002054921-25-000009	0	268	128810956	N
0001725547-25-003737	1	169	699850281	N
0001725547-25-003736	1	253	405068637	N
0002054921-25-000008	0	48	10806249	
0001951757-25-001117	0	318	344046185	N
0002054921-25-000007	0	254	119635856	N
0001665198-25-000010	0	1225	20400786322	N
0001737888-25-000006	0	102	97367633	N
0001667731-25-001207	0	73	106127465	
0001104659-25-082246	0	119	330673226	
0001880785-25-000004	0	3	1754709464	N
0001880785-25-000003	0	4	649860050	N
0001104659-25-081781	0	116	152902136	
0001172661-25-003732	0	68	123337286	
0002056334-25-000003	6	187	265981010	N
0001062993-25-014797	0	424	524785059	N
0002024152-25-000003	0	163	308930865	N
0002079687-25-000002	0	24460	100772977	N
0001085146-25-005403	0	81	91289383	N
0001765380-25-000401	0	0	0	N
0001085146-25-005398	0	13	6765233	N
0001085146-25-005396	1	123	226299648	N
0001085146-25-005397	0	16	8737101	N
0001085146-25-005395	1	120	220687285	N
0001017284-25-000007	0	139	146704566	N
0001769060-25-000006	0	27	171698919	N
0001769060-25-000005	0	35	219828808	N
0001537783-25-000006	0	502	3417995	N
0001477872-25-000005	0	44	1867957114	N
0001537783-25-000005	0	490	1448956	N
0002035144-25-000001	0	187	131913756	N
0000938759-25-000009	0	117	372493093	N
0002063364-25-000212	0	98	145709469	N
0001140361-25-032020	1	44	169127002	
0001062993-25-014705	0	375	842449865	N
0001140361-25-031918	1	2	43947893	
0001140361-25-031914	1	2	41576102	
